"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Comm/Swap";"Stop Loss price level";"Profit/Loss";"Profit/Loss Pips";"Balance";"Profit Target price level"
"4462";"USATECHIDXUSD_ftmo";"Buy";"2024.11.04 10:36:00";"20026.86";"1.1";"2024.11.05 18:57:00";"20227.13";"216,72";"102413,47";"IST";"PT";"-145,48";"220,30";"1d 8h 21m";"";"-3,57";"19846,61914";"216,72";"200,27";"102413,47";"20227,13086"
"4696";"USATECHIDXUSD_ftmo";"Buy";"2024.11.11 16:43:00";"21125.82";"1.05";"2024.11.14 17:19:00";"20935.69";"-210,43";"102203,04";"IST";"SL";"-199,64";"33,64";"3d 0h 36m";"";"-10,80";"20935,68945";"-210,43";"-190,13";"102203,04";"21337,08008"
"4697";"USATECHIDXUSD_ftmo";"Buy";"2024.11.18 18:46:00";"20608.23";"1.07";"2024.11.19 11:29:00";"20422.76";"-202,03";"102001,01";"IST";"SL";"-198,45";"5,24";"16h 43m";"";"-3,58";"20422,75977";"-202,03";"-185,47";"102001,01";"20814,31055"
"4698";"USATECHIDXUSD_ftmo";"Buy";"2024.11.19 14:19:00";"20505.91";"1.08";"2024.11.19 15:54:00";"20321.36";"-199,31";"101801,70";"IST";"SL";"-199,31";"20,70";"1h 35m";"";"-0,00";"20321,35938";"-199,31";"-184,55";"101801,70";"20710,97070"
"4699";"USATECHIDXUSD_ftmo";"Buy";"2024.11.19 17:30:00";"20503.73";"1.08";"2024.11.20 02:10:00";"20708.77";"217,85";"102019,55";"IST";"PT";"-11,87";"221,44";"8h 40m";"";"-3,59";"20319,19922";"217,85";"205,04";"102019,55";"20708,76953"
"4734";"USATECHIDXUSD_ftmo";"Buy";"2024.11.20 16:37:00";"20602.78";"1.07";"2024.11.20 17:17:00";"20417.35";"-198,41";"101821,13";"IST";"SL";"-198,41";"0,85";"40m 0s";"";"-0,00";"20417,34961";"-198,41";"-185,43";"101821,13";"20808,81055"
"4735";"USATECHIDXUSD_ftmo";"Buy";"2024.11.20 19:03:00";"20602.20";"1.07";"2024.11.21 16:31:00";"20808.22";"216,87";"102038,00";"IST";"PT";"-138,97";"220,44";"21h 28m";"";"-3,58";"20416,77930";"216,87";"206,02";"102038,00";"20808,22070"
"4736";"USATECHIDXUSD_ftmo";"Buy";"2024.11.21 18:16:00";"20637.01";"1.07";"2024.11.22 21:00:00";"20768.52";"137,13";"102175,13";"IST";"End Of Friday (Time)";"-30,28";"175,53";"1d 2h 44m";"";"-3,58";"20451,27930";"137,13";"131,51";"102175,13";"20843,38086"
"4789";"USATECHIDXUSD_ftmo";"Buy";"2024.11.25 19:12:00";"20786.75";"1.06";"2024.12.02 16:30:00";"20994.62";"195,32";"102370,45";"IST";"PT";"-185,88";"220,34";"6d 21h 18m";"";"-25,02";"20599,66992";"195,32";"207,87";"102370,45";"20994,61914"
"4991";"USATECHIDXUSD_ftmo";"Buy";"2024.12.06 03:45:00";"21417.72";"1.03";"2024.12.06 21:00:00";"21614.63";"202,82";"102573,27";"IST";"End Of Friday (Time)";"-21,38";"212,89";"17h 15m";"";"-0,00";"21224,96094";"202,82";"196,91";"102573,27";"21631,90039"
"5030";"USATECHIDXUSD_ftmo";"Buy";"2024.12.09 17:28:00";"21516.50";"1.03";"2024.12.10 22:31:00";"21322.85";"-203,05";"102370,22";"IST";"SL";"-199,46";"54,58";"1d 5h 3m";"";"-3,60";"21322,84961";"-203,05";"-193,65";"102370,22";"21731,66992"
"5031";"USATECHIDXUSD_ftmo";"Buy";"2024.12.11 15:30:00";"21423.51";"1.03";"2024.12.11 16:47:00";"21637.75";"220,67";"102590,88";"IST";"PT";"-9,16";"220,67";"1h 17m";"";"-0,00";"21230,69922";"220,67";"214,24";"102590,88";"21637,75000"
"5147";"USATECHIDXUSD_ftmo";"Buy";"2024.12.13 17:42:00";"21715.19";"1.02";"2024.12.13 21:00:00";"21749.93";"35,43";"102626,32";"IST";"End Of Friday (Time)";"-73,23";"38,35";"3h 18m";"";"-0,00";"21519,75000";"35,43";"34,74";"102626,32";"21932,33984"
"5251";"USATECHIDXUSD_ftmo";"Buy";"2024.12.17 17:20:00";"21931.51";"1.01";"2024.12.18 21:30:00";"21734.13";"-202,95";"102423,38";"IST";"SL";"-199,35";"134,59";"1d 4h 10m";"";"-3,59";"21734,13086";"-202,95";"-197,38";"102423,38";"22150,83008"
"5457";"USATECHIDXUSD_ftmo";"Buy";"2024.12.27 08:07:00";"21702.65";"1.02";"2024.12.27 16:38:00";"21507.33";"-199,23";"102224,15";"IST";"SL";"-199,23";"22,90";"8h 31m";"";"-0,00";"21507,33008";"-199,23";"-195,32";"102224,15";"21919,67969"
"5458";"USATECHIDXUSD_ftmo";"Buy";"2025.01.02 10:23:00";"21183.46";"1.04";"2025.01.02 16:39:00";"20992.81";"-198,28";"102025,88";"IST";"SL";"-198,28";"104,50";"6h 16m";"";"-0,00";"20992,81055";"-198,28";"-190,65";"102025,88";"21395,28906"
"5459";"USATECHIDXUSD_ftmo";"Buy";"2025.01.02 17:03:00";"21173.14";"1.04";"2025.01.02 19:27:00";"20982.58";"-198,18";"101827,69";"IST";"SL";"-198,18";"71,80";"2h 24m";"";"-0,00";"20982,58008";"-198,18";"-190,56";"101827,69";"21384,86914"
"5463";"USATECHIDXUSD_ftmo";"Buy";"2025.01.03 17:21:00";"21072.18";"1.05";"2025.01.03 18:46:00";"21282.90";"221,26";"102048,95";"IST";"PT";"-8,99";"221,26";"1h 25m";"";"-0,00";"20882,52930";"221,26";"210,72";"102048,95";"21282,90039"
